Name,Latitude,Longitude,Description
CURRYREEF1,26.0081,-80.09343300000001,30 FT STEEL BARGE WITH CRANE BOOM PIECES
DANIALEDGES,26.062139,-80.09211999999999,LEDGES OFF DANIA DO NOT ANCHOR
DANTOR,26.009833,-80.083167,AJ COBIA 160 FT FREIGHTER
DEEPFREEZE,25.821717,-80.082533,AJ COBIA KINGS BONITO 210 FT STEEL SHIP
DEMAWRECK,25.703633,-80.086917,"165 FT WRECK, HOLDS BOTTOM FISH"
DIVEBOATWRECK,25.82255,-80.085217,70 FT DIVE BOAT ON BOTTOM
DIVOTHOLE1,25.961,-80.077,FLOOR DIVOT DRIFT BOTTOM FISH
DREDGEPIPE,25.782083,-80.049367,OLD DREDGE PIPE
DRYDOCK1,25.80567,-80.06367,reef area good for bottom fishing or trolling drfiting live bait
ELIZABETH WRECK,25.810373,-80.08559099999999,OLD WRECK WITH GOOD TROLLING AND BOTTOM FISHING LIVE BOTTOM
ELLIOT PATCH4,25.449329,-80.179079,PATCH REEF BOTTOM FISH USE CHUM
ELLIOTPATCH,25.449756,-80.160015,ELLIOT PATCH REEFS
ELLIOTPATCH1,25.4531,-80.18331000000001,PATCH REEF CHUM FOR SNAPPER GROUPER KINGS CERO
ELLIOTPATCH2,25.451141,-80.189402,"PATCH REEF FOR BOTTOM FISH SNAPPER, GROUPER CHUM HEAVY"
ELLIOTPATCH3,25.441701,-80.193439,"PATCH REEF FOR BOTTOM FISH SNAPPER, GROUPER CHUM HEAVY"
ELLIOTPATCH5,25.447292,-80.17696599999999,"PATCH REEF FOR BOTTOM FISH SNAPPER, GROUPER CHUM HEAVY"
ELLIOTPATCH6,25.440583,-80.179214,"PATCH REEF FOR BOTTOM FISH SNAPPER, GROUPER CHUM HEAVY"
EMMIBOGGSWRK,26.01010000000001,-80.093617,55 FT LCM BARGE ON BOTTOM
FERRYWRECK,25.687933,-80.06746699999999,103 FT STEEL FERRY COBIA KINGS BONITO
FIBERGLASSBOAT,25.865433,-80.053983,40 FOOT FIBERGLASS BOAT
FIREBOAT,25.785383,-80.03660000000001,COBIA KINGS BONITO AJ 110 FOOT STEEL SHIP
FISHNGAME1,25.767,-80.12683,reef area good for bottom fishing or trolling drfiting live bait
FISHNGAME11,25.764,-80.12667,GOOD FOR TROLL DRIFT OR BOTTOM FISH
FISHNGAME13,25.76683,-80.128,GOOD FOR TROLL DRIFT OR BOTTOM FISH
FISHNGAME14,25.76783,-80.127,GOOD FOR TROLL DRIFT OR BOTTOM FISH
FISHNGAME2,25.76533,-80.12783,reef area good for bottom fishing or trolling drfiting live bait
FISHNGAME22,25.766,-80.12783,TROLL OR DRIFT BOTTOM FISH HOLDS FISH
FISHNGAME3,25.76517,-80.12667,reef area good for bottom fishing or trolling drfiting live bait
FISHNGAME4,25.7685,-80.12733,reef area good for bottom fishing or trolling drfiting live bait
FISHNGAME5,25.76467,-80.12767,reef area good for bottom fishing or trolling drfiting live bait
FISHNGAME9,25.76617,-80.12683,GOOD SPOT ON THE TROLL OR BOTTOM FISH SCATTERED GOOD BOTTOM HOLDS FISH
FREIGHTER1,25.699833,-80.082533,135 FT FREIGHTER ON BOTTOM AJ BONITO GROUPER
FREIGHTER5,25.952233,-80.065133,AJ KINGS BONITO ON 257 FT STEEL FREIGHTER. HOLDS FISH ON BOTTOM
FREIGHTER6,25.909367,-80.08995,150 FT STEEL FREIGHTER
FREIGHTER7,26.006633,-80.09314999999999,85 FT FREIGHTER
GEJAWRECK,25.703987,-80.010593,WRECK WITH LIVE BOTTOM IN AREA
GIMROCK BARGES,25.707283,-80.08116699999999,"195 FOOT LONG BARGE WITH SCRAP STEEL FROM ANOTHER BARGE INSIDE, DEPTH 165, CONFIRMED USING GPS"
GIMROCKBARGE,25.707,-80.075,STEEL DECK BARGE
GIMROCKBARGE1,25.8205,-80.08450000000001,BONITA KINGS AJ BARGE 195 FT
GOLDEN BEACH2,25.962583,-80.09786699999999,1 ULTRA 4 PALLET AND 3 BAY REEFBALLS
GOLDENBCH8,25.962717,-80.097717,THREE PILES OF LIMESTONE BOULDERS AND 3 CONCRETE SLABS
GOLDENBEACH1,25.962983,-80.09795,5 TONS REEFBALLS VARIOUS SIZES
GOLDENBEACH6,25.962783,-80.09795,5 PALLET AND 5 BAY REEFBALLS
GOLDENBEACH7,25.962683,-80.098017,1 ULTRA AND 6 BAY REEFBALLS ON BOTTOM
GOLDENBEACH8,25.962583,-80.09783299999999,10 REEFBALLS VARIOUS SIZES
GORDONPASS1,25.90958,-80.0895,reef area good for bottom fishing or trolling drfiting live bait
GRADYBARGE,26.01025,-80.094067,61 FT BARGE AND 150 TONS OF LIMESTONE HOLDS FISH
HALLANDALE,25.97265,-80.073942,HALLANDALE LEDGES
HarbourTowne,26.058689,-80.127825,BOAT RAMP
HAULOVERCULVERTS,25.89083,-80.07733,CONCRETE CULVERT PIPES
HAULOVERMODULES,25.88955,-80.07693,HAULOVER MODULES ON BOTTOM
HauloverPark,25.91684,-80.12374,BOAT RAMP
HEMMINGWAYWRK,25.709533,-80.075333,"STEEL SAILBOAT ON BOTTOM HERE, HOLDS GOLIOATH AND AJ"
Holland Park,26.019972,-80.119514,BOAT RAMP
Hollywood Marina,26.014231,-80.12154700000001,BOAT RAMP
HOPPER BARGE,25.617767,-80.081667,150 FOOT STEEL HOPPER BARGE
HOPPERBARGE1,25.81293300000001,-80.08925000000001,LARGE HOPPER BARGE HOLDS FISH
HOPPERBARGE3,25.760367,-80.047117,175 FT STEEL HOPPER BARGE
HOPPERBARGE4,25.702433,-80.085033,210 FOOT HOPPER BARGE
HOSTSPOT16,25.76562,-80.12778,SCATTERED BOTTOM NEAR REEF AREA HOLDS FISH
HOSTSPOT21,25.75127,-80.13086,SCATTERED CORAL AND ROCK BOTTOM HOLDS BAIT AND FISH
HOTBOTTM1,25.858915,-80.083466,CHUM FOR SNAPPER GROUPER KINGS
HOTBOTTM3,25.870394,-80.092609,"ANCHOR AND CHUM FOR SNAPPER, GROUPER, KINGS"
HOTBOTTM6,25.724731,-80.119142,"ANCHOR AND CHUM FOR SNAPPER, GROUPER, KINGS"
HOTBOTTOM2,25.854404,-80.08802,CHUM FOR SNAPPER GROUPER KINGS
HOTBOTTOM7,25.741044,-80.121211,CORAL AND ROCKY BOTTOM CHUM AND BOTTOM FISH
HOTBOTTOM8,25.704853,-80.09788,BOTTOM FISHING FOR MANGROVES GROUPER SNAPPER
HOTDANIA,26.035,-80.092,STRUCTURE HOLDS FISH
HOTDROP3,25.739887,-80.087757,CHUM FISH FOR SNAPPER GROUPER
HOTHUMP,26.049,-80.087,HUGE RISE HOLDS FISH TOP AND BOTTOM
HOTLEDGE,26.041,-80.086,SERIES OF MINI LEDGES EXCELLENT BOTTOM FISHING TROLLING LIVE LINING
HOTLEDGE2,25.865648,-80.086597,"FISH EDGE OF DROP OFF FOR SAILS IN WINTER, AND BOTOM FISH YEAR ROUND"
HOTPATCH,26.038,-80.093,LEDGE CHUM BOTTOM FISH AND LIVE LINE
HOTSPOT001,25.918619,-80.104141,TROLL FOR KINGFISH BONITO CUDAS WITH LIVE BAIT OR BALLYHOO
HOTSPOT002,25.908683,-80.10418,TROLL FOR KINGFISH BONITO CUDAS WITH LIVE BAIT OR BALLYHOO
HOTSPOT003,25.890369,-80.109028,TROLL FOR KINGFISH BONITO CUDAS WITH LIVE BAIT OR BALLYHOO
HOTSPOT004,25.946225,-80.103801,TROLL FOR KINGFISH BONITO CUDAS WITH LIVE BAIT OR BALLYHOO
HOTSPOT008,26.015539,-80.08647000000001,CHUM FOR SNAPPER GROUPER KINGS BOTOM FISH
HOTSPOT009,26.011304,-80.10767,CHUM FISHING FOR SNAPPER AND OTHER
HOTSPOT010,26.021204,-80.106022,CHUM FISH FOR BOTTOM FISH AND BAIT
HOTSPOT011,25.792892,-80.089231,CHUM FISH FOR BOTTOM FISH AND BAIT
HOTSPOT012,25.792179,-80.091832,CHUM FISH FOR BOTTOM FISH AND BAIT
HOTSPOT013,25.543908,-80.09571099999999,FISH AND CHUM FOR SNAPPER AND BOTTOM OTHERS
HOTSPOT014,25.56571200000001,-80.093892,CHUM FOR BOTTOM FISH
HOTSPOT015,25.654139,-80.10391,BOTTOM FISH AND DRIFT LIVE BAIT
HOTSPOT022,25.70025400000001,-80.09682100000001,BOTTOM FISH FOR VARIETY CHUM HEAVY
HOTSPOT12,25.81205,-80.08965000000001,SCATTERED BOTTOM NEAR REEF AREA HOLDS FISH
HOTSPOT13,25.81614,-80.08119000000001,SCATTERED BOTTOM NEAR REEF AREA HOLDS FISH
HOTSPOT14,25.74945,-80.12795,HOLDS FISH AND BAIT
HOTSPOT15,25.81118,-80.09108999999999,HOLDS FISH
HOTSPOT16,25.8902,-80.08467,SCATTERED BOTTOM HOLDS FISH
HOTSPOT17,25.81307,-80.08956000000001,MINI LEGDES AND HOLES HOLDS FISH
HOTSPOT18,25.90819,-80.09050000000001,MINI LEGDES AND HOLES HOLDS FISH
HOTSPOT19,25.76617,-80.12785,MINI LEGDES AND HOLES HOLDS FISH
HOTSPOT22,25.81276,-80.09032999999999,MINI LEGDES AND HOLES HOLDS FISH
HOTSPOT23,25.90865000000001,-80.09072000000001,MINI LEGDES AND HOLES HOLDS FISH
HOTSPOT24,25.74505,-80.12571,SCATTERED BOTTOM HOLDS FISH
HOTSPOT25,25.7689,-80.12817,SCATTERED BOTTOM HOLDS FISH
HOTSPOT27,25.76782,-80.12781,GOOD SPOT TO TROLL DRIFT OR BOTTOM FISH
HOTSPOT29,25.90968,-80.0902,GOOD SPOT TO TROLL DRIFT OR BOTTOM FISH
HOTSPOT30,25.75612,-80.12354000000001,GOOD SPOT TO TROLL DRIFT OR BOTTOM FISH
HOTSPOT31,25.75214,-80.13086,CHUM FOR BAIT OR TROLL OR BOTTOM FISH SCATTERED GOOD BOTTOM HOLDS FISH
HOTSPOT32,25.80976,-80.09083,BOTTOM FISH OR LIVE LINE DRIFT SCATTERED GOOD BOTTOM
HOTSPOT33,25.75789,-80.12339,BOTTOM FISH OR LIVE LINE DRIFT SCATTERED GOOD BOTTOM
HOTSPOT34,25.82253,-80.0843,BOTTOM FISH OR LIVE LINE DRIFT SCATTERED GOOD BOTTOM
HOTSPOT35,25.75085,-80.10278,BOTTOM FISH OR LIVE LINE DRIFT SCATTERED GOOD BOTTOM
HOTSPOT41,25.81318,-80.08947000000001,BOTTOM FISH OR LIVE LINE DRIFT SCATTERED GOOD BOTTOM
HOTSPOT42,25.82535,-80.0722,BOTTOM FISH OR LIVE LINE DRIFT SCATTERED GOOD BOTTOM
HOTSPOT45,25.80552000000001,-80.06837,BOTTOM FISH OR LIVE LINE DRIFT SCATTERED GOOD BOTTOM
HOTSPOT46,25.81062,-80.0659,BOTTOM FISH OR LIVE LINE DRIFT SCATTERED GOOD BOTTOM
